"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","C0603C102K5RACTU","","","","Library PDB:CAPC17595_87N_KEM","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"
"C3","1","ECWF4243JL","","","","Library PDB:CAPRR1000W60L1250T600H880",""
"C_bst1","1","GRM32ER60G337ME05L","","","","Library PDB:CAP_GRM32E_MUR",""
"F1","1","3557-10","","","","Library PDB:3557-10_KEY","3557-10"
"J1","1","XT60PW-M","","","","Library PDB:CONN_1805375_RSP","1805375"
"Q2","1","IPP030N10NF2S","","","","Library PDB:IFX-PG-TO220-3-60",""
"R1","1","100kOHM","","","","Library PDB:RN60_VIS",""
"R2","1","RMCF0603FT10R0","","","","STA_RMCF0603_STP","RMCF0603FT10R0"
"U1","1","TPS4800-Q1","","","","Library PDB:VSSOP19-DGX_TEX","https://www.ti.com/lit/gpn/tps4800-q1"
"U3,U4,U5,U6","4","XT30PW-M","","","","Library PDB:XT30PW-M_AMA","XT30PW-M"
